Sector,Symbol,Company
Information Technology,AAPL,Apple Inc.
Industrials,ABB,ABB Ltd.
Health Care,ABBV,AbbVie
Utilities,AEP,American Electric Power
Health Care,AMGN,Amgen
Consumer Discretionary,AMZN,Amazon
Industrials,BA,Boeing
Financials,BAC,Bank of America
Industrials,BBL,Bharat Bijlee Limited
Financial Services,BCH,Banco De Chile
Basic Materials,BHP,BHP Group Limited
Financial Services,BRK-A,Berkshire Hathaway Inc.
Financial Services,BSAC,Banco Santander - Chile
Consumer Defensive,BUD,Anheuser-Busch Inbev SA Sponsor
Financials,C,Citigroup
Industrials,CAT,Caterpillar Inc.
Health Care,CELG,Celgene Corporation
Communication Services,CHL,China Mobile Limited
Communication Services,CHTR,Charter Communications
Communication Services,CMCSA,Comcast
Industrials,CODI,D/B/A Compass Diversified Holdi
Information Technology,CSCO,Cisco
Energy,CVX,Chevron Corporation
Utilities,D,Dominion Energy
Health Care,DHR,Danaher Corporation
Communication Services,DIS,Walt Disney Company (The)
Utilities,DUK,Duke Energy
Utilities,EXC,Exelon
Communication Services,FB,Facebook Inc.
Industrials,GD,General Dynamics
Industrials,GE,GE Aerospace
Communication Services,GOOG,Alphabet Inc. (Class C)
Consumer Discretionary,HD,Home Depot (The)
Industrials,HON,Honeywell
Financial Services,HSBC,"HSBC Holdings, plc."
Energy,IEP,Icahn Enterprises L.P. - Deposi
Information Technology,INTC,Intel
Health Care,JNJ,Johnson & Johnson
Financials,JPM,JPMorgan Chase
Consumer Staples,KO,Coca-Cola Company (The)
Industrials,LMT,Lockheed Martin
Financials,MA,Mastercard
Consumer Discretionary,MCD,McDonald's
Health Care,MDT,Medtronic
Industrials,MMM,3M
Consumer Staples,MO,Altria
Health Care,MRK,Merck & Co.
Information Technology,MSFT,Microsoft
Utilities,NEE,NextEra Energy
Utilities,NGG,"National Grid Transco, PLC Nati"
Healthcare,NVS,Novartis AG
Information Technology,ORCL,Oracle Corporation
Utilities,PCG,PG&E Corporation
Consumer Discretionary,PCLN,The Priceline Group Inc.
Consumer Staples,PEP,PepsiCo
Health Care,PFE,Pfizer
Consumer Staples,PG,Procter & Gamble
Consumer Staples,PM,Philip Morris International
Utilities,PPL,PPL Corporation
Energy,PTR,PetroChina Company Limited
Energy,RDS-B,Royal Dutch Shell plc
Basic Materials,REX,REX American Resources Corporat
Energy,SLB,Schlumberger
Technology,SNP,SNP Schneider__eureither & Partner SE
Healthcare,SNY,Sanofi
Utilities,SO,Southern Company
Industrials,SPLP,Steel Partners Holdings LP LTD
Utilities,SRE,Sempra
Communication Services,T,AT&T
Consumer Cyclical,TM,Toyota Motor Corporation
Technology,TSM,Taiwan Semiconductor Manufactur
Consumer Defensive,UL,Unilever PLC
Consumer Staples,UN,Unilever PLC
Health Care,UNH,UnitedHealth Group
Industrials,UPS,United Parcel Service
Financials,V,Visa Inc.
Communication Services,VZ,Verizon
Financials,WFC,Wells Fargo
Consumer Staples,WMT,Walmart
Energy,XOM,ExxonMobil
